TAGID,wave,session_date,age
TAG050,C2,11/23/20,17.36666667
TAG053,C2,11/23/20,17.15833333
TAG057,C2,11/25/20,16.825
TAG058,C2,12/2/20,16.08611111
TAG060,C2,12/15/20,15.41666667
TAG062,C2,12/3/20,14.43888889
TAG064,C2,12/4/20,15.40277778
TAG065,C2,11/27/20,14.92777778
TAG068,C2,12/12/20,15.5
TAG072,C2,12/8/20,15.59444444
TAG074,C2,11/30/20,13.36111111
TAG076,C2,11/30/20,16.79166667
TAG077,C2,1/15/21,13.44722222
TAG078,C2,11/24/20,15.18888889
TAG080,C2,11/30/20,16.075
TAG084,C2,12/3/20,16.02777778
TAG085,C2,12/2/20,16.55555556
TAG086,C2,12/5/20,15.93055556
TAG088,C2,12/2/20,16.675
TAG089,C2,11/24/20,16.05833333
TAG090,C2,12/16/20,16.04166667
TAG093,C2,12/23/20,16.43333333
TAG094,C2,11/27/20,15.78611111
TAG095,C2,12/3/20,13.68333333
TAG101,C2,11/25/20,15.625
TAG103,C2,12/16/20,15.89722222
TAG104,C2,12/1/20,15.58333333
TAG106,C2,11/29/20,13.49444444
TAG107,C2,1/5/21,15.96388889
TAG110,C2,12/8/20,13.48055556
TAG112,C2,12/16/20,15.51111111
TAG113,C2,12/2/20,15.65
TAG116,C2,11/30/20,14.04722222
TAG119,C2,12/5/20,17.14722222
TAG130,C2,12/1/20,16.35555556
TAG131,C2,11/29/20,15.675
TAG132,C2,11/25/20,15.94166667
TAG138,C2,12/5/20,15.26388889
TAG140,C2,1/5/21,16.74722222
TAG143,C2,12/1/20,16.42777778
TAG147,C2,12/13/20,13.51388889
TAG149,C2,12/27/20,16.81111111
TAG152,C2,11/28/20,14.39722222
TAG159,C2,11/24/20,16.70833333
TAG160,C2,11/30/20,16.64166667
TAG164,C2,12/8/20,16.68888889
TAG167,C2,11/28/20,16.28888889
TAG170,C2,11/23/20,13.93888889
TAG173,C2,12/8/20,15.61944444
TAG175,C2,1/14/21,13.49166667
TAG177,C2,12/20/20,14.53333333
TAG179,C2,11/28/20,14.04444444
TAG180,C2,12/16/20,16.46666667
TAG181,C2,12/3/20,17.175
TAG190,C2,1/11/21,15.13888889
TAG200,C2,11/28/20,14.10833333
TAG202,C2,11/28/20,15.33611111
TAG203,C2,12/3/20,15.53055556
TAG205,C2,12/15/20,16.24722222
TAG206,C2,12/1/20,13.68333333
TAG208,C2,12/23/20,15.63333333
TAG209,C2,11/30/20,15.56944444
TAG210,C2,11/23/20,15.66666667
TAG211,C2,12/2/20,15.43055556
TAG215,C2,1/15/21,13.45
TAG218,C2,12/5/20,13.84722222
TAG220,C2,11/29/20,13.88333333
TAG221,C2,11/29/20,14.08055556
TAG223,C2,11/29/20,13.22222222
