tagid,wave,transition
TAG_106,W2,0
TAG_107,W2,2
TAG_110,W2,0
TAG_111,W2,2
TAG_112,W2,2
TAG_113,W2,2
TAG_114,W2,2
TAG_116,W2,0
TAG_117,W2,2
TAG_119,W2,2
TAG_120,W2,2
TAG_122,W2,0
TAG_124,W2,0
TAG_125,W2,0
TAG_127,W2,0
TAG_130,W2,2
TAG_131,W2,2
TAG_132,W2,2
TAG_138,W2,2
TAG_140,W2,2
TAG_141,W2,2
TAG_143,W2,2
TAG_144,W2,2
TAG_147,W2,0
TAG_149,W2,2
TAG_152,W2,2
TAG_155,W2,2
TAG_159,W2,2
TAG_160,W2,2
TAG_164,W2,2
TAG_166,W2,2
TAG_167,W2,1
TAG_169,W2,2
TAG_173,W2,2
TAG_174,W2,1
TAG_175,W2,0
TAG_176,W2,2
TAG_177,W2,0
TAG_179,W2,0
TAG_180,W2,1
TAG_181,W2,2
TAG_186,W2,1
TAG_188,W2,0
TAG_190,W2,2
TAG_192,W2,2
TAG_194,W2,2
TAG_200,W2,0
TAG_202,W2,2
TAG_203,W2,2
TAG_205,W2,2
TAG_206,W2,0
TAG_207,W2,2
TAG_208,W2,2
TAG_209,W2,2
TAG_210,W2,2
TAG_211,W2,2
TAG_215,W2,0
TAG_218,W2,0
TAG_220,W2,0
TAG_221,W2,0
TAG_223,W2,0
TAG_224,W2,0
TAG_225,W2,0
TAG_232,W2,0
TAG_238,W2,2
TAG_243,W2,0
TAG_244,W2,2
TAG_247,W2,0
TAG_250,W2,0
TAG_252,W2,0
TAG_253,W2,0
TAG_257,W2,2
TAG_261,W2,0
TAG_266,W2,0
TAG_001,W3,1
TAG_002,W3,1
TAG_003,W3,2
TAG_004,W3,1
TAG_005,W3,2
TAG_007,W3,1
TAG_008,W3,1
TAG_009,W3,2
TAG_010,W3,2
TAG_011,W3,1
TAG_014,W3,1
TAG_015,W3,2
TAG_016,W3,1
TAG_017,W3,2
TAG_018,W3,1
TAG_019,W3,1
TAG_020,W3,2
TAG_022,W3,1
TAG_023,W3,
TAG_024,W3,
TAG_026,W3,1
TAG_027,W3,2
TAG_028,W3,1
TAG_030,W3,2
TAG_032,W3,1
TAG_033,W3,1
TAG_034,W3,1
TAG_035,W3,1
TAG_036,W3,2
TAG_037,W3,1
TAG_038,W3,2
TAG_040,W3,1
TAG_041,W3,1
TAG_042,W3,1
TAG_044,W3,1
TAG_045,W3,2
TAG_046,W3,2
TAG_047,W3,1
TAG_048,W3,1
TAG_049,W3,2
TAG_050,W3,1
TAG_051,W3,1
TAG_052,W3,2
TAG_053,W3,1
TAG_054,W3,2
TAG_055,W3,2
TAG_056,W3,1
TAG_057,W3,1
TAG_058,W3,1
TAG_059,W3,1
TAG_060,W3,2
TAG_062,W3,1
TAG_064,W3,2
TAG_065,W3,2
TAG_066,W3,1
TAG_067,W3,1
TAG_068,W3,1
TAG_069,W3,1
TAG_070,W3,2
TAG_071,W3,2
TAG_072,W3,
TAG_073,W3,1
TAG_074,W3,
TAG_075,W3,2
TAG_076,W3,2
TAG_077,W3,
TAG_078,W3,1
TAG_079,W3,
TAG_080,W3,1
TAG_081,W3,
TAG_084,W3,2
TAG_085,W3,1
TAG_086,W3,2
TAG_087,W3,
TAG_088,W3,1
TAG_089,W3,2
TAG_090,W3,2
TAG_091,W3,2
TAG_093,W3,2
TAG_094,W3,2
TAG_095,W3,
TAG_098,W3,1
TAG_099,W3,1
TAG_100,W3,1
TAG_101,W3,
TAG_102,W3,1
TAG_103,W3,
TAG_104,W3,1
TAG_105,W3,1
TAG_106,W3,
TAG_107,W3,
TAG_110,W3,
TAG_111,W3,1
TAG_112,W3,1
TAG_113,W3,1
TAG_114,W3,
TAG_116,W3,
TAG_117,W3,1
TAG_119,W3,2
TAG_120,W3,
TAG_122,W3,
TAG_124,W3,
TAG_125,W3,
TAG_127,W3,
