tagid,School_Setting,School_Setting_OtherSpec,Specialized_Services,Specialized_Services_OtherSpec,Grades_Best,Grades_Average,Grades_Worst
TAG_001,1,-3,-3,-3,1,1,2
TAG_002,1,-3,-3,-3,1,2,2
TAG_003,1,-3,-3,-3,1,2,5
TAG_004,1,-3,-3,-3,1,1,2
TAG_005,7,-3,-3,-3,1,1,3
TAG_007,1,-3,-3,-3,1,1,2
TAG_008,1,-3,-3,-3,1,1,3
TAG_009,1,-3,9,"504 accomodations, IHS",1,2,5
TAG_010,1,-3,9,International High School (French program),1,2,2
TAG_011,1,-3,-3,-3,-9,-9,-9
TAG_016,1,-3,-3,-3,1,1,2
TAG_018,1,-3,9,"504 - stress, test anxiety, concussions",4,4,5
TAG_019,1,-3,-3,-3,1,1,2
TAG_022,1,-3,-3,-3,2,3,5
TAG_026,1,-3,9,"Advanced science, advanced math",1,1,1
TAG_027,2,-3,9,"IEP - anxiety, heart condition, OCD",1,5,5
TAG_028,1,-3,-3,-3,1,2,3
TAG_030,1,-3,-3,-3,1,1,3
TAG_032,1,-3,-3,-3,1,1,2
TAG_033,-9,-9,-3,-3,1,2,4
TAG_034,1,-3,-3,-3,1,1,2
TAG_035,1,-3,-3,-3,1,2,3
TAG_036,1,-3,4,-3,1,3,5
TAG_037,1,-3,-3,-3,1,1,1
TAG_038,1,-3,-3,-3,1,2,3
TAG_040,1,-3,-3,-3,1,2,4
TAG_041,1,-3,-3,-3,1,1,1
TAG_042,1,-3,9,more time on tests,1,2,2
TAG_044,8,A3 School Arts ,8,-3,1,2,2
TAG_045,2,-3,4,-3,1,2,2
TAG_046,2,-3,-3,-3,1,3,3
TAG_047,2,-3,-3,-3,1,3,4
TAG_049,1,-3,-3,-3,1,1,3
TAG_050,1,-3,-3,-3,1,1,2
TAG_051,1,-3,-3,-3,1,1,3
TAG_052,1,-3,-3,-3,1,1,1
TAG_053,1,-3,9,AVID,1,2,2
TAG_054,1,-3,-3,-3,1,1,4
TAG_055,1,-3,-3,-3,1,2,2
TAG_056,1,-3,-3,-3,1,1,2
TAG_057,1,-3,-3,-3,1,1,2
TAG_059,1,-3,-3,-3,1,2,3
TAG_060,1,-3,4,-3,1,2,5
TAG_062,6,-3,-3,-3,1,1,3
TAG_064,1,-3,-3,-3,1,2,4
TAG_065,1,-3,-3,-3,1,1,2
TAG_066,1,-3,-3,-3,1,1,1
TAG_067,1,-3,-3,-3,1,1,1
TAG_069,1,-3,9,504; Study Club,1,2,4
TAG_070,1,-3,9,504 for anxiety and depression - schedule help,1,1,2
TAG_071,1,-3,-3,-3,1,1,2
TAG_075,1,-3,-3,-3,1,1,1
TAG_076,1,-3,9,advanced math course,1,2,2
TAG_078,1,-3,-3,-3,1,1,1
TAG_084,1,-3,-3,-3,1,1,3
TAG_085,1,-3,-3,-3,1,2,3
TAG_086,1,-3,-3,-3,1,2,3
TAG_088,1,-3,-3,-3,1,2,4
TAG_089,1,-3,-3,-3,2,3,5
TAG_090,1,-3,-3,-3,1,1,1
TAG_093,7,"partially homeschooled, online then also go to physical school M-Th.",-3,-3,1,2,3
TAG_094,1,-3,-3,-3,1,2,5
TAG_100,1,-3,-3,-3,1,3,5
TAG_102,1,-3,-3,-3,2,3,5
TAG_104,1,-3,-3,-3,1,2,3
TAG_119,1,-3,9,504 for anxiety/depression - extra time for tests/assignments - can leave class whenever if needed,1,2,3
TAG_130,1,-3,-3,-3,1,2,5
TAG_138,1,-3,9,"IEP social skills class - study group, everyone w/ IEP ALL subjects",1,1,5
TAG_140,1,-3,9,Honors,1,1,2
TAG_149,1,-3,-3,-3,1,1,2
TAG_159,1,-3,-3,-3,1,2,3
TAG_160,1,-3,-3,-3,1,1,2
TAG_164,1,-3,-3,-3,1,1,3
TAG_169,1,-3,-3,-3,1,3,5
TAG_177,1,-3,-3,-3,1,2,3
TAG_181,1,-3,-3,-3,1,1,1
