tagid,School_Setting,School_Setting_OtherSpec,Specialized_Services,Specialized_Services_OtherSpec,Grades_Best,Grades_Average,Grades_Worst
TAG_001,1,-3,-3,-3,1,1,2
TAG_002,1,-3,-3,-3,1,2,4
TAG_003,1,-3,-3,-3,1,2,5
TAG_004,1,-3,-3,-3,1,1,2
TAG_005,7,-3,-3,-3,1,1,3
TAG_007,1,-3,-3,-3,1,1,2
TAG_008,1,-3,-3,-3,1,3,5
TAG_009,2,-3,-3,-3,1,2,5
TAG_010,1,-3,-3,-3,1,2,3
TAG_011,4,"was getting bullied at prior school, tried cyber school, didn't work, starting up again this week, left school Jan 2018 as of 4/13/18 still not in school ""going next week..""",-3,-3,5,5,5
TAG_014,1,-3,-3,-3,1,3,5
TAG_015,1,-3,8,-3,1,1,1
TAG_016,1,-3,-3,-3,1,1,3
TAG_017,1,-3,-3,-3,1,1,2
TAG_018,1,-3,-3,-3,1,2,5
TAG_019,1,-3,-3,-3,1,1,2
TAG_020,1,-3,-3,-3,1,2,3
TAG_022,1,-3,-3,-3,1,2,4
TAG_023,1,-3,-3,-3,1,2,4
TAG_024,1,-3,4,-3,1,2,4
TAG_026,1,-3,9,accelerated math,1,1,1
TAG_027,1,-3,9,"504 accomadations, anxiety and heart",1,3,5
TAG_028,1,-3,-3,-3,1,2,4
TAG_030,1,-3,-3,-3,1,1,1
TAG_032,1,-3,-3,-3,1,1,4
TAG_033,1,-3,-3,-3,1,1,2
TAG_034,1,-3,-3,-3,1,1,3
TAG_035,1,-3,-3,-3,1,2,3
TAG_036,1,-3,-3,-3,1,1,1
TAG_037,1,-3,-3,-3,1,1,1
TAG_038,1,-3,-3,-3,1,1,2
TAG_040,1,-3,-3,-3,1,4,5
TAG_041,1,-3,-3,-3,1,1,1
TAG_042,1,-3,9,academic seminar,1,1,5
TAG_044,1,-3,-3,-3,1,3,5
TAG_045,2,-3,-3,-3,1,1,5
TAG_046,2,-3,-3,-3,1,2,5
TAG_047,2,-3,4,-3,1,2,5
TAG_048,8,monisory school,8,-3,1,1,2
TAG_049,1,-3,-3,-3,1,2,2
TAG_050,1,-3,-3,-3,1,1,2
TAG_051,1,-3,-3,-3,1,1,3
TAG_052,1,-3,-3,-3,1,1,2
TAG_053,1,-3,9,AVID college prep scholarship,1,1,2
TAG_054,1,-3,-3,-3,1,1,1
