tagid,School_Setting,School_Setting_OtherSpec,Specialized_Services,Specialized_Services_OtherSpec,Grades_Best,Grades_Average,Grades_Worst
TAG_055,1,-3,-3,-3,1,1,2
TAG_056,1,-3,9,advanced math,1,1,1
TAG_057,1,-3,-3,-3,1,2,4
TAG_058,1,-3,9,504 depressed mood figuring out what it will include,1,2,5
TAG_059,1,-3,-3,-3,1,1,3
TAG_060,1,-3,9,AVID college prep class,1,3,4
TAG_062,6,-3,-3,-3,-3,-3,-3
TAG_064,1,-3,-3,-3,-3,-3,-3
TAG_065,1,-3,-3,-3,1,1,2
TAG_066,1,-3,-3,-3,1,1,2
TAG_067,1,-3,-3,-3,1,1,1
TAG_068,1,-3,9,accelerated math,1,1,3
TAG_069,1,-3,-3,-3,1,2,2
TAG_070,1,-3,9,Integrative math program,1,1,2
TAG_071,1,-3,4,after school,1,1,2
TAG_072,1,-3,-3,-3,1,2,3
TAG_073,1,-3,4,math,1,2,4
TAG_074,1,-3,-3,-3,1,1,5
TAG_075,1,-3,-3,-3,1,1,1
TAG_076,1,-3,9,advanced math,1,1,3
TAG_077,1,-3,-3,-3,2,3,5
TAG_078,1,-3,-3,-3,1,1,2
TAG_079,1,-3,-3,-3,1,3,4
TAG_080,1,-3,9,has an avid class that provides organizational help - might be resource room,1,1,3
TAG_081,1,-3,-3,-3,1,1,2
TAG_084,1,-3,-3,-3,1,1,4
TAG_085,1,-3,-3,-3,1,1,4
TAG_086,1,-3,-3,-3,1,2,5
TAG_087,1,-3,-3,-3,1,1,3
TAG_088,1,-3,9,AVID,1,1,3
TAG_089,1,-3,-3,-3,1,2,5
TAG_090,1,-3,-3,-3,1,1,3
TAG_091,1,-3,-3,-3,1,3,5
TAG_093,7,-3,-3,-3,1,1,2
TAG_094,1,-3,-3,-3,1,2,2
TAG_095,1,-3,-3,-3,1,1,2
TAG_098,1,-3,8,-3,1,1,1
TAG_099,1,-3,-3,-3,1,2,5
TAG_100,1,-3,-3,-3,1,2,4
TAG_101,1,-3,-3,-3,1,2,3
TAG_102,1,-3,9,read right program,4,2,5
TAG_103,1,-3,-3,-3,1,2,3
TAG_104,1,-3,-3,-3,1,1,3
TAG_105,1,-3,8,Talented and gifted,1,1,5
TAG_106,1,-3,-3,-3,1,1,4
TAG_107,1,-3,-3,-3,1,2,5
TAG_110,1,-3,-3,-3,1,1,3
TAG_111,1,-3,-3,-3,1,1,1
TAG_112,1,-3,-3,-3,1,1,2
TAG_113,1,-3,-3,-3,1,2,4
TAG_114,1,-3,-3,-3,1,2,3
TAG_116,1,-3,9,"Enrolled Spanish immersion (3 classes taught in spanish, 4 english. Spanish, language arts, social studies)",1,1,2
TAG_117,1,-3,-3,-3,1,2,4
TAG_119,1,-3,4,not from school,1,2,3
TAG_120,1,-3,-3,-3,1,2,2
TAG_122,8,Waldorf School,8,ALP Writing - Advanced learn.,1,2,2
TAG_124,1,-3,-3,-3,1,2,4
TAG_125,1,-3,-3,-3,1,2,5
TAG_127,1,-3,9,"Talented and gifted program, 504 plan - accomondations to leave class if needed, listen to music in class, can draw in class, doesn't have to present in front of class",1,1,3
TAG_130,1,-3,-3,-3,1,2,3
TAG_131,1,-3,9,advanced math,1,1,1
TAG_132,1,-3,-3,-3,1,1,1
TAG_138,1,-3,-3,-3,1,2,4
TAG_140,8,charter school,-3,-3,1,2,2
TAG_141,1,-3,-3,-3,1,2,4
TAG_143,1,-3,-3,-3,1,2,4
TAG_144,1,-3,9,AVID,1,1,2
TAG_147,1,-3,-3,-3,1,1,2
TAG_149,1,-3,7,-3,1,1,3
TAG_152,1,-3,"8,9",in higher math and a speech program,1,1,2
TAG_155,1,-3,-3,-3,1,2,4
TAG_159,1,-3,-3,-3,1,1,2
TAG_160,1,-3,9,high school algebra,1,1,2
TAG_164,1,-3,-3,-3,1,2,5
TAG_166,1,-3,-3,-3,1,1,2
TAG_167,1,-3,"8,9",math is magic - advanced math,1,2,3
TAG_169,1,-3,-3,-3,1,3,4
TAG_173,7,co-op on fridays,-3,-3,1,1,2
TAG_174,1,-3,-3,-3,2,2,5
TAG_175,1,-3,8,-3,1,5,5
TAG_176,1,-3,-3,-3,1,2,5
TAG_177,1,-3,-3,-3,2,2,5
TAG_179,1,-3,-3,-3,1,1,3
TAG_180,1,-3,-3,-3,1,1,2
TAG_181,1,-3,-3,-3,1,1,2
TAG_186,1,-3,-3,-3,1,2,3
TAG_188,1,-3,-3,-3,1,1,2
TAG_190,1,-3,8,-3,1,2,2
TAG_192,1,-3,-3,-3,1,2,4
TAG_194,1,-3,-3,-3,1,2,4
TAG_200,1,-3,9,Math support,3,2,5
TAG_202,1,-3,-3,-3,1,1,1
TAG_203,1,-3,-3,-3,1,1,2
TAG_205,1,-3,-3,-3,1,2,5
TAG_206,1,-3,-3,-3,1,1,2
TAG_207,1,-3,-3,-3,1,1,2
TAG_208,1,-3,-3,-3,1,1,1
TAG_209,1,-3,-3,-3,1,3,5
TAG_210,1,-3,8,-3,1,1,1
TAG_211,1,-3,-3,-3,1,2,5
TAG_215,1,-3,-3,-3,1,1,1
TAG_218,1,-3,-3,-3,1,1,2
TAG_220,1,-3,-3,-3,1,1,3
TAG_221,1,-3,-3,-3,1,1,1
TAG_223,1,-3,-3,-3,1,1,2
TAG_224,1,-3,-3,-3,1,2,3
TAG_225,1,-3,-3,-3,1,1,2
TAG_232,1,-3,-3,-3,1,2,5
TAG_238,1,-3,4,-3,1,1,4
TAG_243,1,-3,9,Talented and gifted,1,1,1
TAG_244,1,-3,-3,-3,1,2,4
TAG_247,1,-3,9,Flex - math support,1,3,5
TAG_250,1,spanish immersion school,-3,-3,1,1,2
TAG_252,1,-3,-3,-3,1,2,5
TAG_253,1,-3,-3,-3,-9,-9,-9
TAG_257,8,charter school,-3,-3,1,1,2
TAG_261,1,-3,-3,-3,1,3,3
TAG_266,7,-3,-3,-3,1,1,3
