tagid,School_Setting,School_Setting_OtherSpec,Specialized_Services,Specialized_Services_OtherSpec,Grades_Best,Grades_Average,Grades_Worst
TAG_152,1,-3,9,super advanced math and speech therapist,-9,-9,-9
TAG_155,1,-3,-3,-3,1,2,4
TAG_158,1,-3,4,-3,1,2,3
TAG_159,1,-3,-3,-3,1,1,1
TAG_160,1,-3,-3,-3,1,1,2
TAG_164,1,-3,-3,-3,1,1,3
TAG_165,7,-3,-3,-3,1,1,1
TAG_166,1,-3,5,-3,1,2,4
TAG_167,1,-3,8,-3,1,2,3
TAG_169,1,-3,-3,-3,1,1,2
TAG_170,1,-3,-3,-3,1,1,2
TAG_172,7,-3,-3,-3,1,2,5
TAG_173,7,-3,-3,-3,1,2,5
TAG_174,1,-3,-3,-3,1,3,5
TAG_175,1,-3,4,-3,1,1,2
TAG_176,1,-3,-3,-3,1,2,5
TAG_177,1,-3,-3,-3,1,2,2
TAG_179,1,-3,-3,-3,1,2,3
TAG_180,1,-3,-3,-3,1,1,2
TAG_181,1,-3,-3,-3,1,1,3
TAG_186,1,-3,-3,-3,1,2,3
TAG_188,1,-3,-3,-3,1,1,2
TAG_190,1,-3,8,-3,1,3,3
TAG_192,1,-3,-3,-3,1,1,2
TAG_194,1,-3,-3,-3,1,2,2
TAG_200,1,-3,4,behind in math (title 1),1,2,3
TAG_202,1,-3,-3,-3,1,1,2
TAG_203,1,-3,-3,-3,1,2,3
TAG_205,1,-3,-3,-3,1,2,5
TAG_206,1,-3,8,-3,1,1,2
TAG_207,1,-3,-3,-3,1,2,3
TAG_208,1,-3,-3,-3,1,-9,2
TAG_209,1,-3,-3,-3,1,2,4
TAG_210,1,-3,-3,-3,1,1,1
TAG_211,1,-3,9,rsp - trouble learning sometimes,2,3,4
TAG_214,1,-3,4,-3,1,1,2
TAG_215,1,-3,-3,-3,1,2,2
TAG_218,8,public charter,-3,-3,1,1,2
TAG_220,8,Japanese immersion school,-3,-3,1,1,2
TAG_221,1,-3,-3,-3,1,2,4
TAG_223,1,-3,-3,-3,1,1,3
TAG_224,1,-3,-3,-3,1,1,2
TAG_225,1,-3,-3,-3,1,2,5
TAG_232,1,-3,-3,-3,1,1,3
TAG_233,1,-3,8,-3,1,1,3
TAG_238,1,-3,-3,-3,1,1,1
TAG_240,1,-3,8,-3,1,2,4
TAG_243,1,-3,-3,-3,1,1,3
TAG_244,1,-3,-3,-3,-9,-9,-9
TAG_247,1,-3,4,-3,1,1,5
TAG_249,1,-3,-3,-3,1,1,5
TAG_250,1,-3,-3,-3,1,-9,-9
TAG_252,1,-3,-3,-3,1,2,3
TAG_253,1,-3,8,-3,1,2,3
TAG_257,1,-3,-3,-3,1,2,3
TAG_261,1,-3,8,-3,1,2,3
TAG_266,1,-3,-3,-3,1,2,4
