"","tagid","survey_name","CAMM_1","CAMM_10","CAMM_2","CAMM_3","CAMM_4","CAMM_5","CAMM_6","CAMM_7","CAMM_8","CAMM_9","survey_type","survey_date","CAMM_N","CAMM_missing","CAMM_missing_perc","CAMM_mean","CAMM_total"
"49","TAG076","W3 Home Qs - V3",4,4,3,4,3,2,2,4,2,3,"Home","2019-09-26",10,0,0,3.1,31
"50","TAG078","W3 Home Qs - Current V4",1,1,1,3,2,2,1,2,2,2,"Home","2019-11-11",10,0,0,1.7,17
"51","TAG084","W3 Home Qs - V3",4,4,2,4,3,1,3,2,1,3,"Home","2019-07-22",10,0,0,2.7,27
"52","TAG085","W3 Home Qs - V3",1,3,0,1,1,2,2,2,2,1,"Home","2019-08-14",10,0,0,1.5,15
"53","TAG086","W3 Home Qs - V3",3,3,1,1,2,2,2,2,2,3,"Home","2019-07-22",10,0,0,2.1,21
"54","TAG088","W3 Home Qs - Current V4",4,3,4,4,4,3,4,4,3,4,"Home","2019-11-07",10,0,0,3.7,37
"55","TAG090","W3 Home Qs - V3",1,3,2,2,1,2,3,1,1,1,"Home","2019-08-03",10,0,0,1.7,17
"56","TAG094","W3 Home Qs - V3",3,2,2,3,3,3,3,3,2,2,"Home","2019-06-21",10,0,0,2.6,26
"57","TAG100","W3 Home Qs - Current V4",2,1,2,3,2,3,4,2,3,4,"Home","2019-12-12",10,0,0,2.6,26
"58","TAG104","W3 Home Qs - V3",0,2,1,1,0,3,2,1,1,1,"Home","2019-10-11",10,0,0,1.2,12
"59","TAG119","W3 Home Qs - V3",0,1,1,2,1,1,1,1,0,1,"Home","2019-10-21",10,0,0,0.9,9
"60","TAG138","W3 Home Qs - Current V4",1,2,2,1,3,2,2,2,3,1,"Home","2019-11-15",10,0,0,1.9,19
"61","TAG140","W3 Home Qs - Current V4",1,3,3,2,2,2,2,2,1,3,"Home","2019-11-01",10,0,0,2.1,21
"62","TAG149","W3 Home Qs - V3",3,2,4,4,3,1,3,3,2,2,"Home","2019-07-27",10,0,0,2.7,27
"63","TAG159","W3 Home Qs - V3",3,3,2,0,0,3,3,0,2,4,"Home","2019-08-10",10,0,0,2,20
"64","TAG160","W3 Home Qs - V3",3,3,3,3,2,2,3,3,2,2,"Home","2019-09-16",10,0,0,2.6,26
"65","TAG164","W3 Home Qs - V3",2,3,2,2,2,2,2,2,2,2,"Home","2019-08-28",10,0,0,2.1,21
"66","TAG177","W3 Home Qs - Current V4",3,2,2,2,3,2,1,2,2,2,"Home","2019-11-14",10,0,0,2.1,21
"67","TAG181","W3 Home Qs - V3",0,1,1,1,1,2,1,1,0,1,"Home","2019-10-08",10,0,0,0.9,9
