"","tagid","survey_name","CAMM_1","CAMM_10","CAMM_2","CAMM_3","CAMM_4","CAMM_5","CAMM_6","CAMM_7","CAMM_8","CAMM_9","survey_type","survey_date","CAMM_N","CAMM_missing","CAMM_missing_perc","CAMM_mean","CAMM_total"
"1","TAG001","TAG - Sess 1 - V1",4,4,4,4,2,4,1,4,3,4,"Sess 1","2016-01-13",10,0,0,3.4,34
"2","TAG002","TAG - Sess 1 - V1",3,4,3,3,3,4,2,4,3,4,"Sess 1","2016-01-08",10,0,0,3.3,33
"3","TAG003","TAG - Home Qs - V3",3,2,3,3,2,2,2,3,1,3,"Home","2016-09-22",10,0,0,2.4,24
"4","TAG004","TAG - Home Qs - V1 - (SCC & on)",2,2,2,2,2,3,0,2,2,2,"Home","2016-03-19",10,0,0,1.9,19
"5","TAG005","TAG - Home Qs - V3",4,4,4,4,4,4,4,4,4,4,"Home","2016-11-22",10,0,0,4,40
"6","TAG007","TAG - Home Qs - V3",3,2,3,3,3,2,3,3,2,3,"Home","2016-07-22",10,0,0,2.7,27
"7","TAG008","TAG - Home Qs - V1",1,1,3,0,0,1,0,2,0,1,"Home","2016-03-21",10,0,0,0.9,9
"8","TAG009","TAG - Home Qs - V3",0,3,4,3,0,2,0,0,1,1,"Home","2016-10-22",10,0,0,1.4,14
"9","TAG010","TAG - Home Qs - V3",3,2,4,3,4,2,2,3,3,3,"Home","2016-07-23",10,0,0,2.9,29
"10","TAG011","TAG - Home Qs - V3 - with SID embedded",3,3,4,3,3,2,2,3,3,4,"Home","2017-03-14",10,0,0,3,30
"11","TAG012","TAG - Home Qs - V3 - with SID embedded",4,2,3,4,4,0,3,4,4,4,"Home","2017-03-24",10,0,0,3.2,32
"12","TAG013","TAG - Home Qs - V1",4,0,4,4,4,1,2,4,2,1,"Home","2016-08-01",10,0,0,2.6,26
"13","TAG015","TAG - Home Qs - V3",3,3,3,2,4,3,2,3,2,2,"Home","2016-09-23",10,0,0,2.7,27
"14","TAG016","TAG - Home Qs - V1",2,0,1,0,1,0,0,0,4,0,"Home","2016-03-19",10,0,0,0.8,8
"15","TAG019","TAG - Home Qs - V3 - minusCRQ - with SID embedded",3,3,2,2,3,2,1,3,1,3,"Home","2017-03-02",10,0,0,2.3,23
"16","TAG020","TAG - Home Qs - V3 - minusCRQ - with SID embedded",3,3,1,3,4,3,2,3,2,3,"Home","2017-03-05",10,0,0,2.7,27
"17","TAG023","TAG - Sess 1 - V1",3,3,3,3,3,1,3,3,1,3,"Sess 1","2015-12-14",10,0,0,2.6,26
