"","tagid","survey_name","CAMM_1","CAMM_10","CAMM_2","CAMM_3","CAMM_4","CAMM_5","CAMM_6","CAMM_7","CAMM_8","CAMM_9","survey_type","survey_date","CAMM_N","CAMM_missing","CAMM_missing_perc","CAMM_mean","CAMM_total"
"18","TAG026","TAG - Home Qs - V1",4,3,4,4,2,1,3,4,2,3,"Home","2016-02-05",10,0,0,3,30
"19","TAG027","TAG - Home Qs - V3",3,2,4,4,3,2,3,2,1,3,"Home","2016-08-07",10,0,0,2.7,27
"20","TAG030","TAG - Home Qs - V1",2,1,1,3,2,1,3,2,2,2,"Home","2016-02-08",10,0,0,1.9,19
"21","TAG032","TAG - Home Qs - V1",2,2,2,1,2,2,2,2,2,2,"Home","2016-01-30",10,0,0,1.9,19
"22","TAG034","TAG - Home Qs - V3 - with SID embedded",0,3,4,2,0,2,0,2,3,1,"Home","2017-03-08",10,0,0,1.7,17
"23","TAG035","TAG - Home Qs - V1",3,2,4,0,1,0,3,0,3,2,"Home","2016-02-20",10,0,0,1.8,18
"24","TAG036","TAG - Home Qs - V3",2,2,2,3,2,2,2,2,3,2,"Home","2016-04-16",10,0,0,2.2,22
"25","TAG037","TAG - Home Qs - V1",4,2,2,2,3,2,2,3,2,3,"Home","2016-02-25",10,0,0,2.5,25
"26","TAG041","TAG - Home Qs - V3",4,1,3,3,4,2,2,4,2,3,"Home","2016-04-24",10,0,0,2.8,28
"27","TAG045","TAG - Home Qs - V3 - minusCRQ - with SID embedded",2,4,4,4,4,4,2,3,3,3,"Home","2017-03-22",10,0,0,3.3,33
"28","TAG046","TAG - Home Qs - V3",1,1,1,1,1,2,1,1,1,1,"Home","2016-09-24",10,0,0,1.1,11
"29","TAG047","TAG - Home Qs - V3",3,1,4,4,2,1,3,4,2,1,"Home","2016-09-24",10,0,0,2.5,25
"30","TAG048","TAG - Home Qs - V3",0,1,0,0,2,2,1,3,2,1,"Home","2016-12-10",10,0,0,1.2,12
"31","TAG049","TAG - Home Qs - V3",2,3,4,3,3,3,3,3,3,1,"Home","2016-10-04",10,0,0,2.8,28
"32","TAG050","TAG - Home Qs - V3",0,2,1,1,1,2,0,1,0,0,"Home","2016-06-07",10,0,0,0.8,8
"33","TAG052","TAG - Home Qs - V1",1,0,3,1,4,0,4,1,1,2,"Home","2016-03-26",10,0,0,1.7,17
"34","TAG053","TAG - Home Qs - V3 - with SID embedded",4,0,0,0,0,0,0,0,0,0,"Home","2017-03-29",10,0,0,0.4,4
"35","TAG054","TAG - Home Qs - V3 - with SID embedded",4,4,4,4,4,4,3,4,3,4,"Home","2017-03-03",10,0,0,3.8,38
"36","TAG055","TAG - Home Qs - V3",4,4,3,4,3,2,4,3,4,2,"Home","2016-07-20",10,0,0,3.3,33
"37","TAG057","TAG - Home Qs - V3",3,2,1,2,3,2,0,3,2,3,"Home","2016-03-25",10,0,0,2.1,21
"38","TAG058","TAG - Home Qs - V3",2,4,0,3,1,3,1,3,4,4,"Home","2016-03-26",10,0,0,2.5,25
"39","TAG059","TAG - Home Qs - V3",3,3,3,3,3,2,2,3,3,3,"Home","2016-05-28",10,0,0,2.8,28
"40","TAG060","TAG - Home Qs - V3",4,2,4,4,2,3,2,3,1,4,"Home","2016-03-26",10,0,0,2.9,29
"41","TAG062","TAG - Home Qs - V3",0,0,4,2,0,0,3,0,2,0,"Home","2016-08-04",10,0,0,1.1,11
"42","TAG064","TAG - Home Qs - V3",4,1,4,3,4,1,3,4,3,3,"Home","2016-04-07",10,0,0,3,30
"43","TAG065","TAG - Home Qs - V3",3,3,4,4,4,3,4,4,4,2,"Home","2016-04-23",10,0,0,3.5,35
"44","TAG066","TAG - Home Qs - V3 - with SID embedded",3,3,2,3,3,3,3,3,3,3,"Home","2017-03-02",10,0,0,2.9,29
"45","TAG067","TAG - Home Qs - V3",3,3,1,3,3,2,3,3,2,3,"Home","2016-08-01",10,0,0,2.6,26
"46","TAG068","TAG - Home Qs - V3 - with SID embedded",4,1,3,3,3,2,3,2,2,3,"Home","2017-03-04",10,0,0,2.6,26
"47","TAG069","TAG - Home Qs - V3",3,2,1,3,3,2,1,3,3,3,"Home","2016-08-01",10,0,0,2.4,24
"48","TAG071","TAG - Home Qs - V3 - (CRQ & on)",4,4,4,4,3,4,4,4,3,4,"Home","2016-09-17",10,0,0,3.8,38
"49","TAG072","TAG - W1 Home Qs - Current V4",3,3,2,3,3,3,3,3,3,3,"Home","2017-06-03",10,0,0,2.9,29
"50","TAG075","TAG - Home Qs - V3",1,3,2,1,2,1,2,1,1,2,"Home","2016-09-16",10,0,0,1.6,16
"51","TAG076","TAG - Home Qs - V3",4,4,4,3,4,3,1,4,3,4,"Home","2016-09-16",10,0,0,3.4,34
"52","TAG077","TAG - W1 Home Qs - Current V4",4,4,4,4,4,1,4,4,4,4,"Home","2017-08-28",10,0,0,3.7,37
"53","TAG079","TAG - Home Qs - V3",4,3,4,1,4,NA,3,4,3,4,"Home","2016-07-28",10,1,10,3.33333333333333,NA
"54","TAG080","TAG - Home Qs - V3 - with SID embedded",4,3,3,2,4,2,2,4,4,4,"Home","2017-03-18",10,0,0,3.2,32
"55","TAG081","TAG - W1 Home Qs - Current V4",4,2,2,4,4,2,0,4,1,4,"Home","2017-07-29",10,0,0,2.7,27
"56","TAG085","TAG - Home Qs - V3",4,4,1,1,4,3,2,3,1,4,"Home","2016-07-20",10,0,0,2.7,27
"57","TAG086","TAG - Home Qs - V3",1,0,2,3,2,1,4,1,3,3,"Home","2016-08-01",10,0,0,2,20
"58","TAG087","TAG - W1 Home Qs - Current - V4 IN LAB",3,3,4,3,4,3,3,4,2,3,"Home","2017-11-23",10,0,0,3.2,32
"59","TAG091","TAG - Home Qs - V3 - with SID embedded",1,4,2,2,1,2,0,3,1,3,"Home","2017-03-17",10,0,0,1.9,19
"60","TAG094","TAG - Home Qs - V3",4,0,4,4,4,0,4,4,4,4,"Home","2016-07-22",10,0,0,3.2,32
"61","TAG095","TAG - W1 Home Qs - Current V4",4,2,4,4,3,2,4,3,3,4,"Home","2017-07-06",10,0,0,3.3,33
"62","TAG097","TAG - Home Qs - V3 - with SID embedded",3,3,3,3,4,3,2,3,2,3,"Home","2017-03-20",10,0,0,2.9,29
"63","TAG098","TAG - Home Qs - V3",3,2,3,3,2,2,3,2,2,3,"Home","2016-10-28",10,0,0,2.5,25
"64","TAG099","TAG - Home Qs - V3 - with SID embedded",3,2,3,3,3,2,2,3,2,3,"Home","2017-03-15",10,0,0,2.6,26
"65","TAG101","TAG - Home Qs - V3",4,3,3,3,4,4,4,3,3,3,"Home","2017-02-24",10,0,0,3.4,34
"66","TAG102","TAG - Home Qs - V3 - with SID embedded",3,4,3,3,2,4,1,2,2,3,"Home","2017-04-01",10,0,0,2.7,27
"67","TAG103","TAG - Home Qs - V3",3,2,2,2,3,1,1,3,2,2,"Home","2017-03-01",10,0,0,2.1,21
"68","TAG104","TAG - Home Qs - V3",2,3,4,2,1,0,2,2,2,2,"Home","2016-09-16",10,0,0,2,20
"69","TAG105","TAG - Home Qs - V3 - with SID embedded",4,2,4,4,4,2,4,2,2,2,"Home","2017-03-05",10,0,0,3,30
"70","TAG106","TAG - W1 Home Qs - Current V4",4,0,4,4,2,0,2,4,2,4,"Home","2017-07-26",10,0,0,2.6,26
"71","TAG107","TAG - Home Qs - V3",2,1,2,3,3,2,1,2,2,2,"Home","2017-03-27",10,0,0,2,20
"72","TAG108","TAG - Home Qs - V3 - with SID embedded",4,4,4,4,4,3,2,4,4,4,"Home","2017-03-29",10,0,0,3.7,37
"73","TAG110","TAG - W1 Home Qs - Current V4",4,4,4,4,4,4,4,4,4,4,"Home","2017-07-28",10,0,0,4,40
"74","TAG112","TAG - Home Qs - V3",4,4,3,4,4,1,4,4,2,4,"Home","2017-02-25",10,0,0,3.4,34
"75","TAG113","TAG - Home Qs - V3",3,3,3,3,3,3,3,3,2,3,"Home","2017-06-20",10,0,0,2.9,29
"76","TAG114","TAG - Home Qs - V3",3,3,3,2,4,2,2,2,3,3,"Home","2016-10-05",10,0,0,2.7,27
"77","TAG116","TAG - W1 Home Qs - Current V4",3,4,3,3,3,1,3,3,3,3,"Home","2017-10-27",10,0,0,2.9,29
"78","TAG119","TAG - Home Qs - V3",3,2,3,3,2,1,2,3,3,3,"Home","2016-08-01",10,0,0,2.5,25
"79","TAG122","TAG - W1 Home Qs - Current V4",3,3,4,3,3,1,1,3,3,3,"Home","2017-10-09",10,0,0,2.7,27
"80","TAG124","TAG - W1 Home Qs - Current V4",3,2,3,3,3,2,3,3,2,4,"Home","2017-12-01",10,0,0,2.8,28
"81","TAG125","TAG - W1 Home Qs - Current V4",3,3,4,4,4,3,3,4,4,4,"Home","2017-12-01",10,0,0,3.6,36
"82","TAG131","TAG - Home Qs - V3 - with SID embedded",3,2,2,3,3,1,1,3,3,3,"Home","2017-04-03",10,0,0,2.4,24
"83","TAG132","TAG - Home Qs - V3",2,3,1,3,3,2,3,2,1,2,"Home","2017-05-05",10,0,0,2.2,22
"84","TAG140","TAG - Home Qs - V3 - with SID embedded",3,3,3,3,4,4,3,3,2,3,"Home","2017-03-02",10,0,0,3.1,31
"85","TAG143","TAG - Home Qs - V3",1,3,0,1,1,1,2,1,0,0,"Home","2016-06-30",10,0,0,1,10
"86","TAG145","TAG - Home Qs - V3",3,2,2,2,2,1,2,2,2,2,"Home","2017-03-12",10,0,0,2,20
"87","TAG145","TAG - Home Qs - V3 - with SID embedded",2,2,2,2,2,1,3,2,1,1,"Home","2017-05-24",10,0,0,1.8,18
"88","TAG149","TAG - Home Qs - V3",2,2,4,3,3,2,2,2,2,2,"Home","2016-08-01",10,0,0,2.4,24
"89","TAG152","TAG - Home Qs - V3 - with SID embedded",2,1,3,3,2,3,3,2,1,1,"Home","2017-04-05",10,0,0,2.1,21
"90","TAG155","TAG - W1 Home Qs - Current V4",3,3,2,3,3,4,0,2,2,2,"Home","2017-11-24",10,0,0,2.4,24
"91","TAG164","TAG - Home Qs - V3 - with SID embedded",2,2,2,2,2,2,1,2,1,2,"Home","2017-03-05",10,0,0,1.8,18
"92","TAG169","TAG - Home Qs - V3 - with SID embedded",1,1,1,1,1,1,2,1,2,0,"Home","2017-03-06",10,0,0,1.1,11
"93","TAG170","TAG - W1 Home Qs - Current - V4 IN LAB",1,4,4,4,4,4,4,4,4,4,"Home","2017-11-11",10,0,0,3.7,37
"94","TAG173","TAG - W1 Home Qs - Current V4",4,4,4,4,4,3,4,NA,4,4,"Home","2017-06-08",10,1,10,3.88888888888889,NA
"95","TAG174","TAG - Home Qs - V3",0,2,0,0,0,1,1,1,1,1,"Home","2016-07-22",10,0,0,0.7,7
"96","TAG176","TAG - W1 Home Qs - Current V4",3,3,3,3,3,3,3,3,3,3,"Home","2017-06-10",10,0,0,3,30
"97","TAG177","TAG - Home Qs - V3 - (CRQ & on)",2,1,4,3,2,2,2,3,3,2,"Home","2016-10-30",10,0,0,2.4,24
"98","TAG179","TAG - W1 Home Qs - Current V4",4,3,4,4,4,3,3,3,3,4,"Home","2017-08-05",10,0,0,3.5,35
"99","TAG180","TAG - W1 Home Qs - Current V4",2,4,2,3,3,2,1,2,2,4,"Home","2017-08-03",10,0,0,2.5,25
"100","TAG181","TAG - Home Qs - V3",3,3,1,2,2,1,3,2,2,3,"Home","2016-08-27",10,0,0,2.2,22
"101","TAG186","TAG - W1 Home Qs - Current V4",4,2,2,4,4,3,1,3,3,3,"Home","2017-07-03",10,0,0,2.9,29
"102","TAG190","TAG - W1 Home Qs - Current V4",4,4,2,3,4,4,4,3,4,4,"Home","2017-08-08",10,0,0,3.6,36
"103","TAG194","TAG - Home Qs - V3",3,2,4,3,3,2,3,4,3,3,"Home","2017-02-24",10,0,0,3,30
"104","TAG200","TAG - W1 Home Qs - Current V4",4,4,4,4,0,0,4,4,2,4,"Home","2017-09-18",10,0,0,3,30
"105","TAG202","TAG - W1 Home Qs - Current V4",4,4,4,2,4,4,3,4,4,4,"Home","2017-06-05",10,0,0,3.7,37
"106","TAG203","TAG - W1 Home Qs - Current V4",2,3,3,3,3,3,3,3,3,3,"Home","2018-01-12",10,0,0,2.9,29
"107","TAG205","TAG - W1 Home Qs - Current V4",3,4,2,3,2,3,3,4,2,4,"Home","2017-08-08",10,0,0,3,30
"108","TAG206","TAG - W1 Home Qs - Current V4",3,3,1,3,3,2,3,3,2,3,"Home","2017-08-28",10,0,0,2.6,26
"109","TAG207","TAG - W1 Home Qs - Current V4",4,4,4,4,3,1,4,4,3,4,"Home","2017-05-18",10,0,0,3.5,35
"110","TAG208","TAG - W1 Home Qs - Current V4",3,2,3,3,3,2,2,2,3,2,"Home","2017-05-21",10,0,0,2.5,25
"111","TAG209","TAG - Home Qs - V3 - with SID embedded",4,3,4,4,4,4,3,4,3,4,"Home","2017-03-22",10,0,0,3.7,37
"112","TAG210","TAG - Home Qs - V3",3,3,4,4,4,3,4,4,3,4,"Home","2017-05-06",10,0,0,3.6,36
"113","TAG211","TAG - Home Qs - V3 - with SID embedded",4,4,4,4,3,3,4,3,4,4,"Home","2017-03-18",10,0,0,3.7,37
"114","TAG215","TAG - W1 Home Qs - Current V4",3,3,2,4,3,3,3,4,3,3,"Home","2018-01-16",10,0,0,3.1,31
"115","TAG218","TAG - W1 Home Qs - Current V4",3,1,4,3,2,0,2,3,4,2,"Home","2017-11-28",10,0,0,2.4,24
"116","TAG220","TAG - W1 Home Qs - Current V4",4,3,1,2,4,3,3,4,2,2,"Home","2017-07-02",10,0,0,2.8,28
"117","TAG223","TAG - W1 Home Qs - Current V4",1,3,4,2,1,2,3,1,1,2,"Home","2017-09-24",10,0,0,2,20
"118","TAG224","TAG - W1 Home Qs - Current V4",4,4,4,2,4,4,4,4,3,4,"Home","2017-08-29",10,0,0,3.7,37
"119","TAG225","TAG - W1 Home Qs - Current - V4 IN LAB",3,2,2,1,3,0,0,1,2,1,"Home","2017-12-21",10,0,0,1.5,15
"120","TAG232","TAG - W1 Home Qs - Current V4",4,4,4,4,4,2,4,4,3,4,"Home","2018-02-22",10,0,0,3.7,37
"121","TAG233","TAG - W1 Home Qs - Current V4",2,1,4,4,4,2,0,3,2,3,"Home","2018-03-27",10,0,0,2.5,25
"122","TAG238","TAG - W1 Home Qs - Current V4",3,2,3,3,2,2,2,3,2,3,"Home","2018-01-14",10,0,0,2.5,25
"123","TAG240","TAG - W1 Home Qs - Current V4",4,4,3,0,4,3,0,4,4,4,"Home","2018-01-06",10,0,0,3,30
"124","TAG243","TAG - W1 Home Qs - Current V4",3,1,4,3,3,2,3,3,3,2,"Home","2018-01-03",10,0,0,2.7,27
"125","TAG244","TAG - W1 Home Qs - Current V4",2,4,4,3,4,2,3,4,2,4,"Home","2018-02-05",10,0,0,3.2,32
"126","TAG247","TAG - W1 Home Qs - Current V4",4,3,4,4,4,3,4,4,2,4,"Home","2018-01-13",10,0,0,3.6,36
"127","TAG250","TAG - W1 Home Qs - Current V4",2,4,3,2,3,2,3,3,3,4,"Home","2018-03-02",10,0,0,2.9,29
"128","TAG252","TAG - W1 Home Qs - Current V4",4,0,2,3,4,0,2,0,2,1,"Home","2017-12-29",10,0,0,1.8,18
"129","TAG253","TAG - W1 Home Qs - Current V4",4,3,4,4,4,2,2,4,2,3,"Home","2018-03-13",10,0,0,3.2,32
"130","TAG257","TAG - W1 Home Qs - Current V4",2,3,2,0,0,0,0,0,0,0,"Home","2018-03-06",10,0,0,0.7,7
"131","TAG261","TAG - W1 Home Qs - Current V4",4,4,3,3,4,2,4,4,2,4,"Home","2018-02-23",10,0,0,3.4,34
"132","TAG266","TAG - W1 Home Qs - Current V4",4,0,4,2,1,0,3,4,2,1,"Home","2018-02-19",10,0,0,2.1,21
