TAGID,wave,session_date
TAG_035,wave_1_scheduling_arm_1,2016-01-29
TAG_035,wave_2_scheduling_arm_1,2017-08-04
TAG_035,wave_3_scheduling_arm_1,2019-01-31
TAG_036,wave_1_scheduling_arm_1,2016-03-23
TAG_036,wave_2_scheduling_arm_1,2018-01-22
TAG_036,wave_3_scheduling_arm_1,2019-07-23
TAG_037,wave_1_scheduling_arm_1,2016-02-05
TAG_037,wave_2_scheduling_arm_1,2017-09-19
TAG_037,sos_arm_1,2020-03-22
TAG_037,wave_3_scheduling_arm_1,2019-03-28
TAG_037,wave_4_scheduling_arm_1,2021-02-04
TAG_038,wave_1_scheduling_arm_1,2016-07-26
TAG_038,wave_2_scheduling_arm_1,2018-03-02
TAG_038,sos_arm_1,2018-09-30
TAG_038,wave_3_scheduling_arm_1,2019-08-08
TAG_040,wave_1_scheduling_arm_1,2016-09-14
TAG_040,wave_2_scheduling_arm_1,2018-03-26
TAG_040,sos_arm_1,2019-02-16
TAG_040,wave_3_scheduling_arm_1,2019-09-25
TAG_041,wave_1_scheduling_arm_1,2016-04-06
TAG_041,wave_2_scheduling_arm_1,2017-11-13
TAG_041,sos_arm_1,2020-02-15
TAG_041,wave_3_scheduling_arm_1,2019-05-13
TAG_042,wave_1_scheduling_arm_1,2016-03-21
TAG_042,wave_2_scheduling_arm_1,2018-01-22
TAG_042,wave_3_scheduling_arm_1,2019-07-30
TAG_044,wave_1_scheduling_arm_1,2016-03-12
TAG_044,wave_2_scheduling_arm_1,2017-10-10
TAG_044,wave_3_scheduling_arm_1,2019-04-17
TAG_045,wave_1_scheduling_arm_1,2016-02-28
TAG_045,wave_2_scheduling_arm_1,2017-11-10
TAG_045,sos_arm_1,2019-02-02
TAG_045,wave_3_scheduling_arm_1,2019-07-16
TAG_046,wave_1_scheduling_arm_1,2016-08-31
TAG_046,wave_2_scheduling_arm_1,2018-03-15
TAG_046,sos_arm_1,2018-10-14
TAG_046,wave_3_scheduling_arm_1,2019-09-27
TAG_047,wave_1_scheduling_arm_1,2016-08-31
TAG_047,wave_2_scheduling_arm_1,2018-03-15
TAG_047,sos_arm_1,2018-10-14
TAG_047,wave_3_scheduling_arm_1,2019-09-18
TAG_048,wave_1_scheduling_arm_1,2016-11-12
TAG_048,wave_2_scheduling_arm_1,2018-06-02
TAG_048,sos_arm_1,2019-03-09
TAG_048,wave_3_scheduling_arm_1,2019-11-30
TAG_049,wave_1_scheduling_arm_1,2016-08-21
TAG_049,wave_2_scheduling_arm_1,2018-02-22
TAG_049,wave_3_scheduling_arm_1,2019-08-26
TAG_050,wave_1_scheduling_arm_1,2016-03-18
TAG_050,wave_2_scheduling_arm_1,2017-10-27
TAG_050,sos_arm_1,2018-11-11
TAG_050,wave_3_scheduling_arm_1,2019-04-15
TAG_051,wave_1_scheduling_arm_1,2016-02-24
TAG_051,wave_2_scheduling_arm_1,2017-09-22
TAG_051,wave_3_scheduling_arm_1,2019-03-29
TAG_052,wave_1_scheduling_arm_1,2016-02-27
TAG_052,wave_2_scheduling_arm_1,2017-10-13
TAG_052,sos_arm_1,2020-03-29
TAG_052,wave_3_scheduling_arm_1,2019-07-19
TAG_053,wave_1_scheduling_arm_1,2016-05-10
TAG_053,wave_2_scheduling_arm_1,2017-11-17
TAG_053,sos_arm_1,2018-12-19
TAG_053,wave_3_scheduling_arm_1,2019-05-31
TAG_054,wave_1_scheduling_arm_1,2016-03-23
TAG_054,wave_2_scheduling_arm_1,2017-10-20
TAG_054,wave_3_scheduling_arm_1,2019-06-07
TAG_055,wave_1_scheduling_arm_1,2016-03-02
TAG_055,wave_2_scheduling_arm_1,2017-09-27
TAG_055,sos_arm_1,2020-03-01
TAG_055,wave_3_scheduling_arm_1,2019-04-29
TAG_056,wave_1_scheduling_arm_1,2016-07-27
TAG_056,wave_2_scheduling_arm_1,2018-02-23
TAG_056,wave_3_scheduling_arm_1,2019-08-21
TAG_057,wave_1_scheduling_arm_1,2016-03-07
TAG_057,wave_2_scheduling_arm_1,2017-09-21
TAG_057,sos_arm_1,2018-10-27
